species,year,decimalLongitude,decimalLatitude
Hemidactylus frenatus,2020,-84.20204,10.029704
Sceloporus malachiticus,2020,-84.20204,10.029704
Anolis lemurinus,2007,-84.080281,9.982448
Anolis limifrons,2018,-83.859,9.792424
Anolis limifrons,2021,-84.049938,9.957363
Sceloporus malachiticus,2021,-84.193194,9.915643
Hemidactylus garnotii,2018,-83.907892,9.867412
Holcosus quadrilineatus,2018,-83.826692,9.827983
Anolis cupreus,2018,-83.82685,9.827975
Thecadactylus rapicauda,2021,-84.222002,10.027408
Sceloporus malachiticus,2021,-84.049177,9.958596
Anolis cupreus,2021,-84.047386,10.018231
Ninia maculata,2021,-84.085679,9.979723
Ninia maculata,2021,-84.024652,9.944742
Ctenosaura similis,2021,-84.186293,9.984575
Leptodeira ornata,2011,-84.212401,9.905824
Anolis humilis,2007,-84.080281,9.982448
Sceloporus malachiticus,2021,-84.14415,9.893618
Boa imperator,2015,-84.17215,9.984621
Sceloporus malachiticus,2021,-84.171176,9.981749
Sceloporus malachiticus,2017,-84.171029,9.981762
Iguana iguana,2020,-84.116299,10.022961
Ninia maculata,2019,-84.17066,9.981833
Sceloporus malachiticus,2020,-84.116849,10.018917
Senticolis triaspis,2020,-84.170842,9.981823
Ctenosaura similis,2003,-83.866408,9.839214
Sceloporus malachiticus,2014,-84.17092,9.981835
Gonatodes albogularis,2020,-84.171133,9.981746
Boa imperator,2020,-84.171044,9.981937
Basiliscus basiliscus,2019,-84.110698,9.999386
Sceloporus malachiticus,2019,-84.110655,9.999323
Bothriechis schlegelii,2007,-84.156197,9.922789
Sceloporus malachiticus,2007,-83.835825,9.947509
Hemidactylus frenatus,2020,-84.108217,10.035893
Basiliscus basiliscus,2016,-84.174013,9.98131
Sceloporus malachiticus,2020,-84.170944,9.981728
Geophis brachycephalus,2020,-84.018876,9.950251
Anolis laeviventris,2005,-84.062455,9.930884
Anolis humilis,2011,-84.305634,9.976466
Anolis cupreus,2014,-84.2501,9.984392
Imantodes gemmistratus,2020,-83.988056,9.868611
Hemidactylus frenatus,2020,-84.189045,10.04754
Hemidactylus frenatus,2020,-84.198754,10.057855
Crocodylus acutus,2018,-84.451586,9.965793
Rhadinaea calligaster,2018,-84.142281,9.876875
Enulius flavitorques,2020,-84.363915,9.987033
Iguana iguana,2020,-84.21207,9.969135
Sceloporus malachiticus,2020,-84.152101,10.045151
Leptodeira rhombifera,2015,-84.250226,9.984652
Senticolis triaspis,2020,-84.14183,10.007534
Chironius exoletus,2020,-83.783692,9.759041
Imantodes cenchoa,2020,-84.199235,9.906009
Ctenosaura similis,2005,-84.345573,9.989642
Iguana iguana,2011,-84.305634,9.976466
Ctenosaura similis,2011,-84.20001,9.928051
Micrurus nigrocinctus,2020,-84.043509,9.991285
Ctenosaura similis,2011,-84.305634,9.976466
Ctenosaura similis,2005,-84.346684,9.989388
Ctenosaura similis,2005,-84.346254,9.990054
Iguana iguana,2020,-83.923199,9.86048
Ctenosaura similis,2005,-84.347038,9.989652
Bothriechis schlegelii,2020,-83.980417,9.895917
Ninia maculata,2020,-83.841999,9.784716
Hemidactylus frenatus,2020,-83.841999,9.784716
Leptodeira rhombifera,2019,-84.17714,9.921382
Sceloporus malachiticus,2020,-83.981779,9.906153
Tantilla armillata,2020,-83.841999,9.784716
Iguana iguana,2020,-83.980417,9.895917
Bothriechis lateralis,2011,-84.155403,9.884389
Rhinoclemmys funerea,2014,-84.191996,9.92889
Crocodylus acutus,2014,-84.179117,9.940554
Crocodylus acutus,2014,-84.053265,9.921557
Crocodylus acutus,2014,-84.160715,9.988157
Bothriechis lateralis,2020,-84.058067,10.05445
Hemidactylus frenatus,2020,-84.137069,10.00845
Iguana iguana,2020,-84.274917,10.011953
Basiliscus basiliscus,2016,-84.137143,10.008425
Basiliscus plumifrons,2020,-84.21417,10.015939
Hemidactylus frenatus,2012,-84.137135,10.0084
Hemidactylus frenatus,2020,-83.841999,9.784716
Sceloporus malachiticus,2020,-84.047468,10.018207
Anolis humilis,2020,-84.047286,10.01802
Anolis laeviventris,2020,-84.046272,9.924675
Geophis hoffmanni,2013,-84.016566,9.964546
Geophis hoffmanni,2013,-84.016574,9.964608
Hemidactylus frenatus,2018,-84.249925,9.983947
Bothriechis lateralis,2016,-84.09397,9.850391
Erythrolamprus epinephalus,2020,-84.138237,9.889969
Basiliscus basiliscus,2020,-84.348126,9.942744
Sceloporus malachiticus,2016,-83.881541,9.953911
Anolis biporcatus,2016,-83.868647,9.826719
Iguana iguana,2020,-84.072121,9.939511
Boa imperator,2020,-83.839354,9.776888
Sceloporus malachiticus,2020,-84.101992,10.003775
Boa imperator,2017,-83.797157,9.868965
Hemidactylus frenatus,2020,-83.862968,9.842226
Basiliscus plumifrons,2019,-83.886993,9.80025
Rhadinaea calligaster,2018,-84.142271,9.876843
Kinosternon leucostomum,2020,-84.13164,9.899586
Leptodeira rhombifera,2020,-84.149223,9.924517
Senticolis triaspis,2017,-84.177008,9.922307
Amerotyphlops costaricensis,2016,-83.80972,9.88639
Amerotyphlops costaricensis,2020,-83.80528,9.83222
Sceloporus malachiticus,2014,-83.883252,9.932385
Micrurus nigrocinctus,2020,-84.138237,9.889969
Hemidactylus frenatus,2020,-83.854213,9.80266
Cerrophidion sasai,2020,-83.969986,9.941321
Ninia maculata,2020,-84.10218,9.92405
Hemidactylus frenatus,2020,-84.198555,10.057895
Sceloporus malachiticus,2018,-83.836148,9.827478
Basiliscus basiliscus,2013,-84.261703,9.910009
Drymobius margaritiferus,2017,-83.8339,9.8269
Ctenosaura similis,2016,-84.2514,10.0267
Basiliscus basiliscus,2009,-84.156944,9.973399
Basiliscus basiliscus,2009,-84.156944,9.973399
Basiliscus plumifrons,2012,-84.147105,10.021173
Iguana iguana,2017,-84.072708,9.938945
Ninia maculata,2020,-83.970213,9.958963
Boa imperator,2020,-84.137273,9.922922
Geophis hoffmanni,2020,-84.139189,10.001039
Crotalus simus,2020,-84.204633,9.913288
Sceloporus malachiticus,2020,-84.09947,9.901608
Anolis tropidolepis,2019,-84.077473,10.068056
Anolis tropidolepis,2019,-84.077473,10.068056
Anolis tropidolepis,2001,-84.079056,9.981066
Gonatodes albogularis,2016,-84.249759,9.983931
Erythrolamprus epinephalus,2020,-83.983375,9.768362
Ninia maculata,2019,-84.003484,9.967227
Ninia maculata,2020,-84.114007,10.039084
Abronia monticola,2013,-83.88186,9.961412
Helminthophis frontalis,2020,-84.116448,10.018008
Anolis tropidolepis,2019,-83.78491,9.753297
Boa imperator,2020,-84.074595,10.000274
Ninia maculata,2015,-84.247597,9.969892
Geophis brachycephalus,2020,-83.985008,9.993184
Sceloporus malachiticus,2015,-84.125008,9.951424
Hemidactylus frenatus,2018,-84.095284,10.016208
Basiliscus basiliscus,2016,-84.248278,9.969052
Sceloporus malachiticus,2020,-84.041131,9.921736
Geophis godmani,2020,-84.192522,10.142877
Sceloporus malachiticus,2020,-84.131201,9.902536
Anolis humilis,2013,-84.171713,10.158978
Micrurus nigrocinctus,2020,-84.180377,9.922864
Iguana iguana,2020,-84.123131,9.982464
Sceloporus malachiticus,2020,-83.946036,9.821655
Sceloporus malachiticus,2020,-84.192302,10.142904
