species,year,decimalLongitude,decimalLatitude
Eucalyptus deglupta,2023,-84.127983,9.963712
Monochaetum floribundum,2021,-84.152558,9.883095
Dichorisandra thyrsiflora,2023,-84.072628,9.939875
Centropogon granulosus,2003,-83.784032,9.7596
Bursera simaruba,2023,-84.451447,9.982792
Heliconia lankesteri,2003,-83.784032,9.7596
Nymphaea lotus,2018,-83.889397,9.840112
Jacaranda mimosifolia,2023,-84.063767,9.932678
Trifolium repens,2023,-83.827629,9.96759
Monochaetum floribundum,2021,-83.990174,10.037728
Passiflora biflora,2023,-84.065369,9.934338
Heliconia bihai,2023,-84.068153,9.938798
Monstera deliciosa,2023,-84.250803,10.025831
Opuntia cochenillifera,2022,-84.193097,9.938247
Monochaetum floribundum,2022,-84.1223,10.132473
Ronnbergia veitchii,2003,-83.784032,9.7596
Rivina humilis,2003,-84.092833,9.973162
Damburneya cufodontisii,2022,-84.054073,9.979842
Anthurium watermaliense,2003,-83.784032,9.7596
Goeppertia zebrina,2022,-84.128628,10.023155
Dioscorea natalia,2003,-83.784032,9.7596
Salpichlaena volubilis,2000,-83.78833,9.78056
Brugmansia arborea,2004,-83.78389,9.75028
Phytolacca rivinoides,2009,-83.9,9.8
Ricinus communis,2023,-83.964691,9.94914
Etlingera elatior,2023,-84.078575,9.981238
Ananas comosus,2023,-84.079269,9.982328
Epiphyllum thomasianum,2023,-84.079711,9.982255
Thunbergia alata,2023,-83.966562,9.94745
Callisia fragrans,2022,-84.205948,9.978878
Thunbergia mysorensis,2023,-84.078772,9.98173
Passiflora edulis,2023,-84.274918,10.013159
Heliconia tortuosa,2023,-84.00947,9.942097
Platycerium bifurcatum,2023,-84.078972,9.981567
Hibiscus rosa-sinensis,2023,-84.071647,9.932478
Anthurium scandens,2023,-84.141997,9.872911
Averrhoa carambola,2023,-84.250242,9.984449
Clerodendrum paniculatum,2016,-84.090725,9.928069
Heliconia rostrata,2023,-84.079308,9.981233
Heliconia rostrata,2023,-84.071639,9.93247
Aristolochia grandiflora,2023,-84.078886,9.980975
Brassia gireoudiana,2023,-84.078728,9.98178
Phytolacca rugosa,2023,-84.139374,9.872429
Myriophyllum aquaticum,2023,-83.889282,9.840366
Drymonia conchocalyx,2022,-83.773047,9.82784
Coccoloba uvifera,2022,-84.173728,9.982506
Botrypus virginianus,2022,-84.017061,10.048491
Ficus costaricana,2022,-84.174386,9.982726
Kohleria tubiflora,2022,-84.378042,9.93781
Equisetum giganteum,2023,-84.078705,9.981855
Pseudobombax ellipticum,2023,-84.07855,9.980667
Heliconia rostrata,2023,-84.250838,10.026045
Solanum lycopersicum,2023,-84.173302,9.986721
Spathodea campanulata,2023,-84.250122,9.984288
Euphorbia chiapensis,2004,-84.272222,9.9
Gamochaeta purpurea,2004,-83.883333,9.933333
Acmella repens,2004,-83.955556,9.958333
Emilia fosbergii,2004,-84.383333,9.966667
Gamochaeta pensylvanica,2004,-84.1,9.983333
Clusia croatii,2023,-84.10806,10.10004
Micranthemum umbrosum,2019,-84.244444,9.955833
Clibadium leiocarpum,2004,-83.955556,9.958333
Achillea millefolium,2004,-83.866667,9.95
Galinsoga quadriradiata,2004,-84.383333,9.966667
Cestrum aurantiacum,2023,-84.10174,10.10471
Aiouea brenesii,2006,-84.27222,9.9
Lasiacis divaricata,2009,-84.28333,9.916667
Smallanthus maculatus,2003,-83.88304,9.807028
Critonia daleoides,2002,-84.16101,9.898624
Ageratina anisochroma,2002,-84.01729,10.008635
Forestiera cartaginensis,2006,-84.16167,9.906111
Rhynchostegium conchophyllum,2008,-84.116667,10.1
Breutelia jamaicensis,2008,-84.133333,10.116667
Salmea scandens,2020,-84.0683,9.998
Solanum chrysotrichum,2023,-84.10806,10.10004
Hydrocharis laevigata,2023,-84.10174,10.10471
Schultesianthus leucanthus,2023,-84.10806,10.10004
Sinclairia hypochlora,2023,-84.10806,10.10004
Pseudogynoxys cumingii,2005,-84.0675,9.998056
Justicia comata,2019,-84.244444,9.955833
Justicia costaricana,2023,-84.0675,9.998056
Sobralia abel-arayae,2006,-83.824167,9.801389
Phaseolus lunatus,2019,-84.077944,9.989389
Polyalthia longifolia,2020,-84.06957,9.98758
Cordia alliodora,2005,-84.26667,9.883333
Gamochaeta purpurea,2004,-83.883333,9.933333
